freq,alpha,chord,velocity,displacement,sound_pressure,thickness,camber
800,0.0,0.3048,71.3,0.00266337,126.201,0.036576,0.006096000000000001
1000,0.0,0.3048,71.3,0.00266337,125.201,0.036576,0.006096000000000001
1250,0.0,0.3048,71.3,0.00266337,125.951,0.036576,0.006096000000000001
1600,0.0,0.3048,71.3,0.00266337,127.591,0.036576,0.006096000000000001
2000,0.0,0.3048,71.3,0.00266337,127.461,0.036576,0.006096000000000001
2500,0.0,0.3048,71.3,0.00266337,125.571,0.036576,0.006096000000000001
3150,0.0,0.3048,71.3,0.00266337,125.201,0.036576,0.006096000000000001
4000,0.0,0.3048,71.3,0.00266337,123.061,0.036576,0.006096000000000001
5000,0.0,0.3048,71.3,0.00266337,121.301,0.036576,0.006096000000000001
6300,0.0,0.3048,71.3,0.00266337,119.541,0.036576,0.006096000000000001
8000,0.0,0.3048,71.3,0.00266337,117.151,0.036576,0.006096000000000001
10000,0.0,0.3048,71.3,0.00266337,115.391,0.036576,0.006096000000000001
12500,0.0,0.3048,71.3,0.00266337,112.241,0.036576,0.006096000000000001
16000,0.0,0.3048,71.3,0.00266337,108.721,0.036576,0.006096000000000001
500,0.0,0.3048,55.5,0.00283081,126.416,0.036576,0.006096000000000001
630,0.0,0.3048,55.5,0.00283081,127.696,0.036576,0.006096000000000001
800,0.0,0.3048,55.5,0.00283081,128.086,0.036576,0.006096000000000001
1000,0.0,0.3048,55.5,0.00283081,126.966,0.036576,0.006096000000000001
1250,0.0,0.3048,55.5,0.00283081,126.086,0.036576,0.006096000000000001
1600,0.0,0.3048,55.5,0.00283081,126.986,0.036576,0.006096000000000001
2000,0.0,0.3048,55.5,0.00283081,126.616,0.036576,0.006096000000000001
2500,0.0,0.3048,55.5,0.00283081,124.106,0.036576,0.006096000000000001
3150,0.0,0.3048,55.5,0.00283081,123.236,0.036576,0.006096000000000001
4000,0.0,0.3048,55.5,0.00283081,121.106,0.036576,0.006096000000000001
5000,0.0,0.3048,55.5,0.00283081,119.606,0.036576,0.006096000000000001
6300,0.0,0.3048,55.5,0.00283081,117.976,0.036576,0.006096000000000001
8000,0.0,0.3048,55.5,0.00283081,116.476,0.036576,0.006096000000000001
10000,0.0,0.3048,55.5,0.00283081,113.076,0.036576,0.006096000000000001
12500,0.0,0.3048,55.5,0.00283081,111.076,0.036576,0.006096000000000001
200,0.0,0.3048,39.6,0.00310138,118.129,0.036576,0.006096000000000001
250,0.0,0.3048,39.6,0.00310138,119.319,0.036576,0.006096000000000001
315,0.0,0.3048,39.6,0.00310138,122.779,0.036576,0.006096000000000001
400,0.0,0.3048,39.6,0.00310138,124.809,0.036576,0.006096000000000001
500,0.0,0.3048,39.6,0.00310138,126.959,0.036576,0.006096000000000001
630,0.0,0.3048,39.6,0.00310138,128.629,0.036576,0.006096000000000001
800,0.0,0.3048,39.6,0.00310138,129.099,0.036576,0.006096000000000001
1000,0.0,0.3048,39.6,0.00310138,127.899,0.036576,0.006096000000000001
1250,0.0,0.3048,39.6,0.00310138,125.499,0.036576,0.006096000000000001
1600,0.0,0.3048,39.6,0.00310138,124.049,0.036576,0.006096000000000001
2000,0.0,0.3048,39.6,0.00310138,123.689,0.036576,0.006096000000000001
2500,0.0,0.3048,39.6,0.00310138,121.399,0.036576,0.006096000000000001
3150,0.0,0.3048,39.6,0.00310138,120.319,0.036576,0.006096000000000001
4000,0.0,0.3048,39.6,0.00310138,119.229,0.036576,0.006096000000000001
5000,0.0,0.3048,39.6,0.00310138,117.789,0.036576,0.006096000000000001
6300,0.0,0.3048,39.6,0.00310138,116.229,0.036576,0.006096000000000001
8000,0.0,0.3048,39.6,0.00310138,114.779,0.036576,0.006096000000000001
10000,0.0,0.3048,39.6,0.00310138,112.139,0.036576,0.006096000000000001
12500,0.0,0.3048,39.6,0.00310138,109.619,0.036576,0.006096000000000001
200,0.0,0.3048,31.7,0.00331266,117.195,0.036576,0.006096000000000001
250,0.0,0.3048,31.7,0.00331266,118.595,0.036576,0.006096000000000001
315,0.0,0.3048,31.7,0.00331266,122.765,0.036576,0.006096000000000001
400,0.0,0.3048,31.7,0.00331266,125.045,0.036576,0.006096000000000001
500,0.0,0.3048,31.7,0.00331266,127.315,0.036576,0.006096000000000001
630,0.0,0.3048,31.7,0.00331266,129.095,0.036576,0.006096000000000001
800,0.0,0.3048,31.7,0.00331266,129.235,0.036576,0.006096000000000001
